bill_id,knesset_num,sub_type,status,ancestor_first_plenum_discussion,presented_to_plenum,merged_first_call,from_presented_to_first_call,from_presented_to_first_call_without_pagra,merged_last_call,from_last_call_to_first_relevant_committee_discussion,from_last_call_to_first_relevant_committee_discussion_without_pagra,from_first_relevant_committee_discussions_to_last,from_first_relevant_committee_discussions_to_last_without_pagra,from_presented_to_plenum_to_publication,from_presented_to_plenum_to_publication_without_pagra,from_first_plenum_discussion_to_publication,from_first_plenum_discussion_to_publication_without_pagra,publication_date,dates_comments
148018,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-07-21,"failed to find presented to plenum, failed to find first call, failed to find last call"
148086,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-12-07,"failed to find presented to plenum, failed to find first call, failed to find last call"
148130,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1951-03-15,"failed to find presented to plenum, failed to find first call, failed to find last call"
148132,1,ממשלתית,התקבלה בקריאה שלישית,1950-03-29,,,,,,,,,,,,8,4,1950-04-06,"failed to find presented to plenum, failed to find first call, failed to find last call"
148149,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-12-07,"failed to find presented to plenum, failed to find first call, failed to find last call"
148161,1,ממשלתית,התקבלה בקריאה שלישית,1951-04-12,,,,,,,,,,,,7,0,1951-04-19,"failed to find presented to plenum, failed to find first call, failed to find last call"
148162,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-08-18,"failed to find presented to plenum, failed to find first call, failed to find last call"
148168,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1951-05-22,"failed to find presented to plenum, failed to find first call, failed to find last call"
148205,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-03-20,"failed to find presented to plenum, failed to find first call, failed to find last call"
148207,1,ממשלתית,התקבלה בקריאה שלישית,1950-07-11,,,,,,,,,,,,10,10,1950-07-21,"failed to find presented to plenum, failed to find first call, failed to find last call"
148208,1,ממשלתית,התקבלה בקריאה שלישית,1950-05-24,,,,,,,,,,,,9,9,1950-06-02,"failed to find presented to plenum, failed to find first call, failed to find last call"
148209,1,ממשלתית,התקבלה בקריאה שלישית,1949-06-21,1949-06-21,1949-06-21,0,0,1949-06-21,,,,,219,163,219,163,1950-01-26,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
148210,1,ממשלתית,התקבלה בקריאה שלישית,1949-06-21,1949-06-21,1949-06-21,0,0,1949-06-21,,,,,43,43,43,43,1949-08-03,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
148268,1,ממשלתית,התקבלה בקריאה שלישית,1950-07-10,1950-07-10,1950-07-10,0,0,1950-07-10,,,,,22,22,22,22,1950-08-01,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
148269,1,ממשלתית,התקבלה בקריאה שלישית,1949-04-06,1949-04-06,1949-04-06,0,0,1949-04-06,,,,,1,1,1,1,1949-04-07,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
148303,1,ממשלתית,התקבלה בקריאה שלישית,1950-07-03,1950-07-03,1950-07-03,0,0,1950-07-03,,,,,29,29,29,29,1950-08-01,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
